Period,Date,Cash,AR,Inventory,OtherCurrentAssets,NetPPE,GoodwillIntangibles,OtherNonCurrentAssets,TotalAssets,AP,ShortTermDebt,LongTermDebt,TotalDebt,OtherLiabilities,TotalLiabilities,RetainedEarnings,Equity,TotalLiabilitiesAndEquity
Q1 2021,2021-03-31,11342000000,16971000000,3347000000,0,149022000000,296282000000,37122000000,546985000000,48245000000,19325000000,158947000000,201965000000,113696000000,363906000000,41154000000,165488000000,546985000000
Q2 2021,2021-06-30,11869000000,15771000000,2810000000,0,147981000000,294138000000,37869000000,544710000000,49429000000,23855000000,154161000000,201420000000,114015000000,364864000000,38947000000,162296000000,544710000000
Q3 2021,2021-09-30,21270000000,16304000000,3088000000,0,148760000000,292929000000,39559000000,547107000000,47926000000,24766000000,154090000000,202109000000,115769000000,365804000000,41091000000,163771000000,547107000000
Q4 2021,2021-12-31,19223000000,12313000000,3325000000,118114000000,143473000000,211961000000,19252000000,551622000000,29511000000,25865000000,151011000000,195832000000,142424000000,367767000000,42350000000,166332000000,551622000000
Q1 2022,2022-03-31,38565000000,17218000000,3153000000,0,151100000000,301202000000,42094000000,577195000000,46845000000,28232000000,178716000000,229522000000,114272000000,390639000000,45041000000,169036000000,577195000000
Q2 2022,2022-06-30,4018000000,11377000000,3241000000,85000000,146943000000,221674000000,18808000000,426433000000,36659000000,6829000000,129747000000,155325000000,99142000000,291126000000,2128000000,117746000000,426433000000
Q3 2022,2022-09-30,2423000000,11384000000,3935000000,0,148827000000,221943000000,19434000000,426463000000,36642000000,9897000000,123854000000,152492000000,97351000000,286485000000,6127000000,122406000000,426463000000
Q4 2022,2022-12-31,3701000000,11466000000,3123000000,14818000000,149259000000,197341000000,19612000000,402853000000,31101000000,7597000000,128423000000,154679000000,110616000000,296396000000,-19415000000,97500000000,402853000000
Q1 2023,2023-03-31,2821000000,10214000000,2791000000,14077000000,150077000000,197743000000,20340000000,400873000000,38389000000,13757000000,123727000000,155897000000,98241000000,292527000000,-15187000000,99396000000,400873000000
Q2 2023,2023-06-30,9528000000,9304000000,2348000000,15492000000,150364000000,198242000000,20396000000,408453000000,33038000000,15268000000,128012000000,161591000000,95779000000,290408000000,-10698000000,101903000000,408453000000
Q3 2023,2023-09-30,7540000000,8962000000,2520000000,16598000000,149497000000,200299000000,19435000000,406698000000,34659000000,11302000000,126701000000,155733000000,96479000000,286871000000,-7203000000,103703000000,406698000000
Q4 2023,2023-12-31,6722000000,10289000000,2177000000,17270000000,149394000000,200356000000,19601000000,407060000000,27309000000,9477000000,127854000000,154899000000,105437000000,287645000000,-5015000000,103297000000,407060000000
Q1 2024,2024-03-31,3520000000,9577000000,2127000000,15221000000,148519000000,200558000000,19015000000,399428000000,31973000000,7060000000,125704000000,150055000000,96805000000,278833000000,-1570000000,104540000000,399428000000
Q2 2024,2024-06-30,3093000000,9686000000,1816000000,15273000000,148354000000,200410000000,18810000000,398026000000,31173000000,5249000000,125355000000,147778000000,97751000000,276702000000,2000000,105310000000,398026000000
Q3 2024,2024-09-30,2586000000,9068000000,2529000000,15616000000,148743000000,195822000000,19074000000,393719000000,31935000000,2637000000,126375000000,146343000000,97181000000,275459000000,-185000000,102351000000,393719000000
Q4 2024,2024-12-31,3298000000,9638000000,2270000000,15962000000,149780000000,195722000000,17830000000,394795000000,27433000000,5089000000,118443000000,140923000000,106214000000,274570000000,1871000000,104372000000,394795000000
Q1 2025,2025-03-31,6885000000,9228000000,2593000000,15074000000,149459000000,196031000000,17255000000,397467000000,33113000000,8902000000,117259000000,143594000000,98921000000,275628000000,4215000000,103744000000,397467000000
Q2 2025,2025-06-30,10499000000,8844000000,2357000000,17606000000,150588000000,196230000000,18356000000,405491000000,33289000000,9254000000,123057000000,150073000000,98752000000,282114000000,6680000000,105272000000,405491000000
Q3 2025,2025-09-30,20272000000,8936000000,2886000000,22485000000,152576000000,68679000000,146323000000,423213000000,36592000000,11378000000,128090000000,158493000000,99389000000,294474000000,13974000000,110708000000,423213000000
Q4 2025,2025-12-31,18234000000,8843000000,2420000000,19235000000,154201000000,68679000000,147480000000,420198000000,38514000000,9011000000,146032000000,173986000000,79206000000,291706000000,15768000000,110533000000,420198000000
