Line Item,2026,2027,2028
Net Income,13.659632530360938,14.902558927371684,16.011312072714205
D&A,20.85011048,20.939212637675,20.98908093322575
Change in Working Capital,24.989418373013695,0.025358083132795334,0.07148538095763779
CFO,59.499161383374634,35.86712964817948,37.071878386897595
Capex,20.85011048,20.810751210449997,20.72995647726
CFI,-20.85011048,-20.810751210449997,-20.72995647726
New Borrowing,0.0,0.0,0.0
Mandatory Debt Repayment,3.47972,3.7194669418724384,3.958675679247032
Optional Debt Repayment,21.727602325102485,13.103354758124024,9.348220143378162
Net Debt Issuance,-25.207322325102485,-16.82282169999646,-13.306895822625195
Dividends,5.190660361537156,5.66297239240124,6.084298587631397
CFF,-30.39798268663964,-22.4857940923977,-19.391194410256592
Delta Cash,8.251068216734993,-7.429415654668217,-3.049272500618992
Ending Cash,26.485068216734994,19.055652562066776,16.006380061447786
