Line Item,2026,2027,2028
Cash,26.485068216734994,19.055652562066776,16.006380061447786
Accounts Receivable,9.926965397260275,9.854575239178082,9.761537724737156
Inventory,4.506319818493151,4.428927671779177,4.350096175151049
Other Current Assets,18.05314444,18.113061238724995,18.1387119176025
Net PP&E,154.201,154.07253857277502,153.8134141168093
Goodwill & Intangibles,67.99221,67.3122879,66.639165021
Other Non-Current Assets,146.7426,146.008887,145.278842565
Total Assets,427.9073078724884,418.84593018452404,413.9881475817478
Accounts Payable,65.49184802876712,65.42734060582875,65.35260765459483
Short-Term Debt,7.705474374538765,6.834194809868802,6.145010402745957
Long-Term Debt,141.07320330035876,125.12166116503225,112.50394974952992
Total Debt,148.77867767489752,131.95585597490106,118.64896015227588
Other Liabilities,94.63481,93.22117490000004,91.81800758600006
Total Liabilities,308.90533570366466,290.60437148072987,275.8195753928708
Retained Earnings,24.236972168823783,33.476558703794225,43.40357218887703
Equity,119.0019721688238,128.24155870379423,138.16857218887702
Total Liabilities & Equity,427.90730787248845,418.84593018452404,413.9881475817478
