Line Item,2026,2027,2028
Revenue,127.13482,128.461427225,129.562227982875
COGS,73.1025215,73.47993637269998,73.85046995023873
Gross Profit,54.0322985,54.981490852300006,55.71175803263625
SG&A,29.49527824,29.674589688974997,29.79931243606125
Other OpEx,-20.59584084,-20.553828355999986,-20.729956477259993
EBITDA,45.1328611,45.86072951932499,46.642402073834994
D&A,20.85011048,20.939212637675,20.98908093322575
EBIT,24.28275062,24.92151688164999,25.65332114060924
Interest Expense,7.100822908854169,6.176159740301962,5.513305954805214
Pretax Income,17.181927711145832,18.74535714134803,20.140015185804028
Taxes,3.5222951807848952,3.842798213976346,4.128703113089825
Net Income,13.659632530360938,14.902558927371684,16.011312072714205
