Scenario,Year,RunID,Revenue,EBITDA,NetIncome,CFO,Cash,TotalDebt,NetDebt_to_EBITDA,DiagnosticStatus,IsSelectedScenario
base,2026,ATT_20260415_202355_UTC,127134820000.0,45132861100.0,13659632530.360937,59499161383.37463,26485068216.734993,148778677674.89752,2.7096356507777997,PASS,False
base,2027,ATT_20260415_202355_UTC,128461427224.99998,45860729519.32499,14902558927.371685,35867129648.17948,19055652562.066776,131955855974.90106,2.4618056580469334,PASS,False
base,2028,ATT_20260415_202355_UTC,129562227982.87498,46642402073.83499,16011312072.714203,37071878386.8976,16006380061.447784,118648960152.27588,2.200628087900463,PASS,False
downside,2026,ATT_20260415_202355_UTC,120852420000.0,41452380060.0,11061255998.266186,53578288235.55386,28891843088.106354,154484366911.89365,3.0298024779759123,PASS,False
downside,2027,ATT_20260415_202355_UTC,116079365975.0,40047381261.375,11286403029.381165,28706987395.513214,20998132291.263832,140396962328.77774,2.9814391422560256,PASS,False
downside,2028,ATT_20260415_202355_UTC,111282079970.375,38726163829.6905,11408891834.691677,28047274537.10023,16780552591.021461,129716209384.02611,2.9162624340916348,PASS,False
upside,2026,ATT_20260415_202355_UTC,133417220000.0,48697285300.0,16031083166.302086,64861784685.20619,23512094202.603424,142774796860.592,2.4490626515065426,PASS,False
upside,2027,ATT_20260415_202355_UTC,141471728475.0,51920124350.325,18500771637.50451,43320252855.24707,17043993682.85151,123359571906.21976,2.0476757240798626,PASS,False
upside,2028,ATT_20260415_202355_UTC,149744317545.375,55405397491.78875,20921201550.8366,47083845420.63008,15090374747.509972,106680487899.46217,1.6530900832455204,PASS,False
energy_cost_strain,2026,ATT_20260415_202355_UTC,127134820000.0,42844434339.99999,11742319748.481731,58642466483.41324,31706656672.444603,154382651813.4544,2.8632889436114755,PASS,False
energy_cost_strain,2027,ATT_20260415_202355_UTC,128461427224.99998,43548423829.274994,12848918886.83087,33819277546.246193,23858052340.72935,138665033177.38867,2.6363062251516314,PASS,False
energy_cost_strain,2028,ATT_20260415_202355_UTC,129562227982.87498,44310281970.14324,13920408299.848347,34984788293.14575,19381824098.123394,125482852728.80508,2.394501319178554,PASS,False
interest_rate_strain,2026,ATT_20260415_202355_UTC,127134820000.0,44878591460.0,11330841483.688929,57170370336.70262,33661292055.740498,157398751962.83966,2.757160059655294,PASS,False
interest_rate_strain,2027,ATT_20260415_202355_UTC,128461427224.99998,45603806664.87499,12567675127.129206,33532245847.937004,27019655740.21608,142811337558.13733,2.539079306883967,PASS,False
interest_rate_strain,2028,ATT_20260415_202355_UTC,129562227982.87498,46383277617.86924,13796915742.858524,34857482057.041916,22810006605.48382,129716990825.9094,2.30486049522381,PASS,False
custom,2026,ATT_20260415_202355_UTC,127134820000.0,45132861100.0,13659632530.360937,59499161383.37463,26485068216.734993,148778677674.89752,2.7096356507777997,PASS,True
custom,2027,ATT_20260415_202355_UTC,128461427224.99998,45860729519.32499,14902558927.371685,35867129648.17948,19055652562.066776,131955855974.90106,2.4618056580469334,PASS,True
custom,2028,ATT_20260415_202355_UTC,129562227982.87498,46642402073.83499,16011312072.714203,37071878386.8976,16006380061.447784,118648960152.27588,2.200628087900463,PASS,True
