Scenario,Year,RunID,BalanceSheetTieDelta,CashFlowTieDelta,PPE_RollForward_Check,Debt_RollForward_Check,RetainedEarnings_RollForward_Check,OtherLiabilities_PctRevenue,DiagnosticStatus
base,2026,ATT_20260415_202355_UTC,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910384,PASS
base,2027,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7256744449578884,PASS
base,2028,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7086788257310317,PASS
downside,2026,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7830609432562458,PASS
downside,2027,ATT_20260415_202355_UTC,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.8030813583189034,PASS
downside,2028,ATT_20260415_202355_UTC,0.0,3.814697265625e-06,0.0,0.0,0.0,0.8250924821897953,PASS
upside,2026,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7093148095875478,PASS
upside,2027,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.6589385448589717,PASS
upside,2028,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.613165221165589,PASS
energy_cost_strain,2026,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7443657842910388,PASS
energy_cost_strain,2027,ATT_20260415_202355_UTC,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7256744449578885,PASS
energy_cost_strain,2028,ATT_20260415_202355_UTC,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7086788257310316,PASS
interest_rate_strain,2026,ATT_20260415_202355_UTC,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910386,PASS
interest_rate_strain,2027,ATT_20260415_202355_UTC,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7256744449578884,PASS
interest_rate_strain,2028,ATT_20260415_202355_UTC,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7086788257310316,PASS
custom,2026,ATT_20260415_202355_UTC,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910384,PASS
custom,2027,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7256744449578884,PASS
custom,2028,ATT_20260415_202355_UTC,0.0,0.0,0.0,0.0,0.0,0.7086788257310317,PASS
