Line Item,2026,2027,2028
Cash,28.891843088106352,20.998132291263833,16.78055259102146
Accounts Receivable,9.933075616438357,9.381756976061643,8.841589915454453
Inventory,4.52070826430137,4.227833126771643,3.9512760449755064
Other Current Assets,17.16104364,16.367190602475,15.579491195852501
Net PP&E,153.5967379,152.90026170415,152.12128714435738
Goodwill & Intangibles,67.99221,67.3122879,66.639165021
Other Non-Current Assets,146.7426,146.008887,145.278842565
Total Assets,428.83821850884607,417.19634960072216,409.19220447766133
Accounts Payable,62.328062878027396,59.18966377480301,56.19592597298499
Short-Term Debt,8.000980712488785,7.271372567589439,6.718200100924553
Long-Term Debt,146.48338619940483,133.12558976118828,122.99800928310157
Total Debt,154.48436691189366,140.39696232877773,129.71620938402612
Other Liabilities,94.63480999999999,93.2211749000001,91.818007586
Total Liabilities,311.447239789921,292.80780100358083,277.7301429430111
Retained Earnings,22.625978718925033,29.623548597141358,36.6970615346502
Equity,117.39097871892503,124.38854859714135,131.46206153465022
Total Liabilities & Equity,428.83821850884607,417.19634960072216,409.19220447766133
