Line Item,2026,2027,2028
Net Income,11.061255998266185,11.286403029381164,11.408891834691676
D&A,19.81979688,18.920936653925,18.027696955200753
Change in Working Capital,22.697235357287674,-1.5003522877929496,-1.3893142527921978
CFO,53.57828823555386,28.706987395513213,28.047274537100233
Capex,19.21553478,18.224460458075,17.248722395408123
CFI,-19.21553478,-18.224460458075,-17.248722395408123
New Borrowing,0.0,0.0,0.0
Mandatory Debt Repayment,2.60979,3.089687338237873,3.5099240582194433
Optional Debt Repayment,16.89184308810636,10.997717244878023,7.170828886532192
Net Debt Issuance,-19.501633088106356,-14.087404583115896,-10.680752944751637
Dividends,4.203277279341151,4.288833151164843,4.335378897182838
CFF,-23.70491036744751,-18.37623773428074,-15.016131841934476
Delta Cash,10.657843088106354,-7.893710796842521,-4.2175797002423705
Ending Cash,28.891843088106352,20.998132291263833,16.78055259102146
