Line Item,2026,2027,2028
Revenue,120.85242,116.079365975,111.282079970375
COGS,70.21525602,67.09387353355,64.098478062936
Gross Profit,50.63716398,48.985492441450006,47.183601907439005
SG&A,28.4003187,27.162571638150002,25.928724633097378
Other OpEx,-19.21553478,-18.224460458074997,-17.471286555348872
EBITDA,41.45238006,40.047381261375,38.7261638296905
D&A,19.81979688,18.920936653925,18.027696955200753
EBIT,21.63258318,21.12644460745,20.698466874489746
Interest Expense,7.719053622432471,6.929711237159228,6.347659535254932
Pretax Income,13.91352955756753,14.196733370290772,14.350807339234814
Taxes,2.8522735593013433,2.9103303409096077,2.9419155045431364
Net Income,11.061255998266185,11.286403029381164,11.408891834691676
