Line Item,2026,2027,2028
Cash,31.706656672444602,23.85805234072935,19.381824098123396
Accounts Receivable,9.926965397260275,9.854575239178082,9.761537724737156
Inventory,4.5846905979452055,4.506356477229862,4.426413651908085
Other Current Assets,18.05314444,18.113061238724995,18.1387119176025
Net PP&E,154.45526964,154.58373106722502,154.58373106722502
Goodwill & Intangibles,67.99221,67.3122879,66.639165021
Other Non-Current Assets,146.7426,146.008887,145.278842565
Total Assets,433.4615367476501,424.2369512630873,418.21022604559613
Accounts Payable,66.63083669013699,66.57117523180477,66.49914463099124
Short-Term Debt,7.995712732582149,7.181673318321297,6.49894811041844
Long-Term Debt,146.38693908087225,131.48335985906738,118.98390461838665
Total Debt,154.3826518134544,138.66503317738866,125.48285272880509
Other Liabilities,94.63481000000004,93.22117490000005,91.81800758600005
Total Liabilities,315.64829850359143,298.45738330919346,283.8000049457964
Retained Earnings,23.048238244058673,31.01456795389381,39.64522109979979
Equity,117.81323824405867,125.77956795389382,134.4102210997998
Total Liabilities & Equity,433.4615367476501,424.2369512630873,418.2102260455962
