Line Item,2026,2027,2028
Net Income,11.742319748481732,12.84891888683087,13.920408299848347
D&A,20.85011048,20.939212637675,20.98908093322575
Change in Working Capital,26.050036254931502,0.031146021740327837,0.07529906007165908
CFO,58.64246648341324,33.81927754624619,34.984788293145755
Capex,21.10438012,21.067674064899997,20.98908093322575
CFI,-21.10438012,-21.067674064899997,-20.98908093322575
New Borrowing,0.0,0.0,0.0
Mandatory Debt Repayment,3.47972,3.8595662953363603,4.15995099532166
Optional Debt Repayment,16.12362818654558,11.858052340729358,9.022229453261927
Net Debt Issuance,-19.603348186545578,-15.717618636065719,-13.182180448583587
Dividends,4.4620815044230575,4.88258917699573,5.289755153942371
CFF,-24.065429690968635,-20.600207813061452,-18.47193560252596
Delta Cash,13.472656672444604,-7.848604331715252,-4.476228242605957
Ending Cash,31.706656672444602,23.85805234072935,19.381824098123396
