Line Item,2026,2027,2028
Revenue,127.13482,128.461427225,129.562227982875
COGS,74.3738697,74.76455064494998,75.1460922300675
Gross Profit,52.7609503,53.69687658005,54.41613575280749
SG&A,30.003817520000005,30.188435397875,30.317561347992747
Other OpEx,-20.087301559999997,-20.03998264709999,-20.211707565328496
EBITDA,42.84443433999999,43.548423829274995,44.310281970143244
D&A,20.85011048,20.939212637675,20.98908093322575
EBIT,21.99432385999999,22.609211191599993,23.321201036917493
Interest Expense,7.2241103398971855,6.44704906980016,5.811253489938437
Pretax Income,14.770213520102805,16.162162121799835,17.509947546979053
Taxes,3.027893771621075,3.313243234968966,3.589539247130706
Net Income,11.742319748481732,12.84891888683087,13.920408299848347
