Period,Date,Revenue,COGS,GrossProfit,SG&A,R&D,OtherOpEx,D&A,EBITDA,EBIT,InterestExpense,PretaxIncome,Taxes,NetIncome
Q1 2021,2021-03-31,43939000000,26896000000,17043000000,9365000000,0,0,5809000000,13487000000,7678000000,1845000000,10064000000,2122000000,7550000000
Q2 2021,2021-06-30,35740000000,20587000000,15153000000,7605000000,0,0,4429000000,11977000000,7548000000,1640000000,7120000000,1151000000,1570000000
Q3 2021,2021-09-30,31326000000,17890000000,13436000000,7117000000,0,0,4457000000,10776000000,6319000000,1605000000,6315000000,1296000000,5918000000
Q4 2021,2021-12-31,31095000000,18725000000,12370000000,7385000000,0,0,4500000000,9485000000,4985000000,1536000000,6141000000,939000000,5043000000
Q1 2022,2022-03-31,29712000000,17197000000,12515000000,6883000000,0,0,4462000000,10094000000,5632000000,1621000000,6589000000,1440000000,4810000000
Q2 2022,2022-06-30,29643000000,16791000000,12852000000,7095000000,0,0,4450000000,10207000000,5757000000,1486000000,6260000000,1509000000,4157000000
Q3 2022,2022-09-30,30043000000,16715000000,13328000000,7153000000,0,0,4514000000,10689000000,6175000000,1405000000,7254000000,908000000,6026000000
Q4 2022,2022-12-31,31343000000,18166000000,13177000000,7432000000,0,0,4595000000,10340000000,5745000000,1642000000,-23197000000,-77000000,-23517000000
Q1 2023,2023-03-31,30139000000,16962000000,13177000000,7174000000,0,0,4631000000,10634000000,6003000000,1705000000,5767000000,1314000000,4228000000
Q2 2023,2023-06-30,29917000000,16502000000,13415000000,7005000000,0,0,4675000000,11085000000,6410000000,1594000000,6165000000,1403000000,4489000000
Q3 2023,2023-09-30,30350000000,16759000000,13591000000,7125000000,0,0,4705000000,11171000000,6466000000,1659000000,4980000000,1154000000,3495000000
Q4 2023,2023-12-31,32022000000,18677000000,13345000000,7456000000,954000000,-954000000,4766000000,10655000000,5889000000,1726000000,2936000000,354000000,2188000000
Q1 2024,2024-03-31,30028000000,17001000000,13027000000,6986000000,0,0,5047000000,11088000000,6041000000,1677000000,4869000000,1118000000,3445000000
Q2 2024,2024-06-30,29797000000,16514000000,13283000000,6989000000,0,0,5072000000,11366000000,6294000000,1685000000,5091000000,1142000000,3597000000
Q3 2024,2024-09-30,30213000000,16717000000,13496000000,6919000000,0,0,5087000000,11664000000,6577000000,1660000000,1430000000,1285000000,-174000000
Q4 2024,2024-12-31,32298000000,19569000000,12729000000,7380000000,955000000,-955000000,5374000000,10723000000,5349000000,1658000000,5308000000,900000000,4080000000
Q1 2025,2025-03-31,30626000000,12033000000,18593000000,7145000000,0,5694000000,5190000000,10944000000,5754000000,1610000000,5991000000,1299000000,4351000000
Q2 2025,2025-06-30,30847000000,17401000000,13446000000,6896000000,0,0,5251000000,11801000000,6550000000,1666000000,6098000000,1237000000,4500000000
Q3 2025,2025-09-30,30709000000,17136000000,13573000000,7454000000,0,0,5317000000,11436000000,6119000000,1700000000,10653000000,976000000,9314000000
Q4 2025,2025-12-31,33466000000,26336000000,7130000000,7522000000,0,-5552000000,5128000000,10288000000,5160000000,1828000000,4265000000,109000000,3724000000
