Line Item,2026,2027,2028
Cash,33.661292055740496,27.01965574021608,22.81000660548382
Accounts Receivable,9.926965397260275,9.854575239178082,9.761537724737156
Inventory,4.506319818493151,4.428927671779177,4.350096175151049
Other Current Assets,18.05314444,18.113061238724995,18.1387119176025
Net PP&E,154.201,154.07253857277502,153.8134141168093
Goodwill & Intangibles,67.99221,67.3122879,66.639165021
Other Non-Current Assets,146.7426,146.008887,145.278842565
Total Assets,435.0835317114939,426.80993336267335,420.79177412578383
Accounts Payable,65.49184802876712,65.42734060582875,65.35260765459483
Short-Term Debt,8.151921154214408,7.396416738912186,6.718240572990181
Long-Term Debt,149.24683080862525,135.41492081922513,122.99875025291922
Total Debt,157.39875196283967,142.81133755813732,129.7169908259094
Other Liabilities,94.63481000000002,93.22117490000004,91.81800758600005
Total Liabilities,317.5254099916068,301.4598530639661,286.88760606650425
Retained Earnings,22.793121719887136,30.585080298707243,39.13916805927953
Equity,117.55812171988713,125.35008029870724,133.90416805927953
Total Liabilities & Equity,435.08353171149395,426.80993336267335,420.79177412578383
