Line Item,2026,2027,2028
Net Income,11.330841483688928,12.567675127129206,13.796915742858525
D&A,20.85011048,20.939212637675,20.98908093322575
Change in Working Capital,24.989418373013695,0.025358083132795334,0.07148538095763779
CFO,57.17037033670262,33.532245847937006,34.85748205704191
Capex,20.85011048,20.810751210449997,20.72995647726
CFI,-20.85011048,-20.810751210449997,-20.72995647726
New Borrowing,0.0,0.0,0.0
Mandatory Debt Repayment,3.47972,3.9349687990709916,4.2843401267441195
Optional Debt Repayment,13.10752803716033,10.65244560563134,8.810006605483819
Net Debt Issuance,-16.58724803716033,-14.587414404702331,-13.09434673222794
Dividends,4.305719763801793,4.775716548309099,5.24282798228624
CFF,-20.892967800962126,-19.363130953011428,-18.33717471451418
Delta Cash,15.427292055740498,-6.641636315524418,-4.209649134732258
Ending Cash,33.661292055740496,27.01965574021608,22.81000660548382
