Line Item,2026,2027,2028
Revenue,127.13482,128.461427225,129.562227982875
COGS,73.1025215,73.47993637269998,73.85046995023873
Gross Profit,54.0322985,54.981490852300006,55.71175803263625
SG&A,29.49527824,29.674589688974997,29.79931243606125
Other OpEx,-20.3415712,-20.296905501549986,-20.470832021294243
EBITDA,44.87859146,45.603806664874995,46.38327761786924
D&A,20.85011048,20.939212637675,20.98908093322575
EBIT,24.02848098,24.664594027199993,25.39419668464349
Interest Expense,9.775850182907009,8.85619764087395,8.039585687337167
Pretax Income,14.25263079709299,15.808396386326043,17.35461099730632
Taxes,2.9217893134040627,3.240721259196839,3.5576952544477956
Net Income,11.330841483688928,12.567675127129206,13.796915742858525
