Line Item,2026,2027,2028
Cash,23.512094202603425,17.04399368285151,15.090374747509971
Accounts Receivable,10.051982328767124,10.465031969383562,10.87184771219846
Inventory,4.5837039419178085,4.724961934176679,4.867715966235273
Other Current Assets,18.94524524,19.947513714975,20.9642044563525
Net PP&E,154.60125166,154.88419511695002,155.03393943449538
Goodwill & Intangibles,67.99221,67.3122879,66.639165021
Other Non-Current Assets,146.7426,146.008887,145.278842565
Total Assets,426.4290873732883,420.3868713183368,418.74608990279165
Accounts Payable,68.54720894958905,71.86337453375691,75.33369947745064
Short-Term Debt,7.394524240518171,6.388980161892027,5.525144991332944
Long-Term Debt,135.38027262007384,116.97059174432773,101.15534290812923
Total Debt,142.774796860592,123.35957190621976,106.68048789946218
Other Liabilities,94.63480999999997,93.22117490000007,91.81800758600006
Total Liabilities,305.956815810181,288.44412133997673,273.83219496291287
Retained Earnings,25.70727156310729,37.17774997836008,50.14889493987878
Equity,120.4722715631073,131.94274997836007,144.9138949398788
Total Liabilities & Equity,426.4290873732883,420.3868713183368,418.74608990279165
