Line Item,2026,2027,2028
Net Income,16.031083166302086,18.50077163750451,20.921201550836603
D&A,21.88042408,23.059891741424998,24.25857944235075
Change in Working Capital,26.95027743890411,1.759589476317563,1.9040644274427319
CFO,64.86178468520619,43.32025285524707,47.083845420630084
Capex,22.28067574,23.342835198375,24.408323759896128
CFI,-22.28067574,-23.342835198375,-24.408323759896128
New Borrowing,0.0,0.0,0.0
Mandatory Debt Repayment,4.34965,4.28324390581776,4.3175850167176915
Optional Debt Repayment,26.861553139407977,15.131981048554511,12.361498990039893
Net Debt Issuance,-31.211203139407978,-19.415224954372274,-16.679084006757584
Dividends,6.091811603194793,7.030293222251713,7.950056589317908
CFF,-37.30301474260277,-26.445518176623985,-24.629140596075494
Delta Cash,5.278094202603424,-6.468100519751915,-1.9536189353415374
Ending Cash,23.512094202603425,17.04399368285151,15.090374747509971
