Line Item,2026,2027,2028
Revenue,133.41722,141.471728475,149.744317545375
COGS,76.0478154,80.214470045325,84.60553941313687
Gross Profit,57.3694046,61.257258429675005,65.13877813223813
SG&A,30.6859606,32.397025820775,34.1417044003455
Other OpEx,-22.0138413,-23.059891741424995,-24.40832375989612
EBITDA,48.6972853,51.920124350325,55.40539749178875
D&A,21.88042408,23.059891741424998,24.25857944235075
EBIT,26.81686122,28.8602326089,31.146818049438
Interest Expense,6.651976734085427,5.588821744114453,4.830841255932844
Pretax Income,20.164884485914573,23.271410864785544,26.315976793505158
Taxes,4.133801319612488,4.770639227281037,5.394775242668557
Net Income,16.031083166302086,18.50077163750451,20.921201550836603
